species,PA,bio12,bio1
Aneides_aeneus,1,1370,150
Aneides_aeneus,1,1385,149
Aneides_aeneus,1,1401,147
Aneides_aeneus,1,1476,139
Aneides_aeneus,1,1500,137
Aneides_aeneus,1,1547,135
Aneides_aeneus,1,1466,151
Aneides_aeneus,1,1476,141
Aneides_aeneus,1,1401,148
Aneides_aeneus,1,1417,155
Aneides_aeneus,1,1158,121
Aneides_aeneus,1,1370,150
Aneides_aeneus,1,1148,123
Aneides_aeneus,1,1194,115
Aneides_aeneus,1,1400,130
Aneides_aeneus,1,1440,153
Aneides_aeneus,1,1480,154
Aneides_aeneus,1,1286,134
Aneides_aeneus,1,1565,148
Aneides_aeneus,1,1476,139
Aneides_aeneus,1,1393,148
Aneides_aeneus,1,1534,135
Aneides_aeneus,1,1284,128
Aneides_aeneus,1,1487,137
Aneides_aeneus,1,1374,150
Aneides_aeneus,1,1410,147
Aneides_aeneus,1,1532,131
Aneides_aeneus,1,1542,131
Aneides_aeneus,1,1452,148
Aneides_aeneus,1,1399,141
Aneides_aeneus,1,1385,149
Aneides_aeneus,1,1496,135
Aneides_aeneus,1,1313,132
Aneides_aeneus,1,1364,118
Aneides_aeneus,1,1243,110
Aneides_aeneus,1,1243,110
Aneides_aeneus,1,1500,137
Aneides_aeneus,1,1122,105
Aneides_aeneus,1,1416,146
Aneides_aeneus,1,1168,122
Aneides_aeneus,1,1487,152
Aneides_aeneus,1,1333,139
Aneides_aeneus,1,1401,147
Aneides_aeneus,1,1082,107
Aneides_aeneus,1,1148,122
Aneides_aeneus,1,1491,128
Aneides_aeneus,1,1475,153
Aneides_aeneus,1,1459,132
Aneides_aeneus,1,1413,150
Aneides_aeneus,1,1534,135
Aneides_aeneus,1,1353,136
Aneides_aeneus,1,1227,123
Aneides_aeneus,1,1234,122
Aneides_aeneus,1,1472,137
Aneides_aeneus,1,1506,134
Aneides_aeneus,1,1452,155
Aneides_aeneus,1,1539,131
Aneides_aeneus,1,1481,153
Aneides_aeneus,1,1498,125
Aneides_aeneus,1,1491,152
Aneides_aeneus,1,1487,153
Aneides_aeneus,1,1482,152
Aneides_aeneus,1,1498,125
Aneides_aeneus,1,1136,117
Aneides_aeneus,1,1130,114
Aneides_aeneus,1,1136,107
Aneides_aeneus,1,1199,95
Aneides_aeneus,1,1146,108
Aneides_aeneus,1,1143,107
Aneides_aeneus,1,1157,110
Aneides_aeneus,1,1129,131
Aneides_aeneus,1,1497,141
